"Question","Option1","Option2","Option3","Option4","Answer","Topic","Subtopic"
"If a coin is tossed thrice, what is the probability of getting at least one head?"," \( \frac{1}{8} \)"," \( \frac{1}{4} \)"," \( \frac{3}{8} \)"," \( \frac{7}{8} \)"," \( \frac{7}{8} \)"," Probability"," coin_toss"
"When tossing a coin 5 times, what is the probability of getting exactly 3 heads?"," \( \frac{10}{32} \)"," \( \frac{16}{32} \)"," \( \frac{5}{32} \)"," \( \frac{20}{32} \)"," \( \frac{10}{32} \)"," Probability"," coin_toss"
"If a coin is tossed once, what is the probability of getting more than 1 head?"," \( \frac{1}{2} \)"," \( 0 \)"," \( \frac{1}{4} \)"," \( \frac{1}{8} \)"," \( 0 \)"," Probability"," coin_toss"
"What is the probability of getting less than 2 heads when a coin is tossed twice?"," \( \frac{3}{4} \)"," \( \frac{1}{4} \)"," \( \frac{1}{2} \)"," \( \frac{1}{8} \)"," \( \frac{3}{4} \)"," Probability"," coin_toss"
"What is the probability of rolling a 3 on a fair six-sided die?"," \( \frac{1}{6} \)"," \( \frac{1}{3} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," \( \frac{1}{6} \)"," Probability"," die_throw"
"What is the probability of rolling an even number on a fair six-sided die?"," \( \frac{1}{6} \)"," \( \frac{1}{2} \)"," \( \frac{1}{3} \)"," \( \frac{1}{4} \)"," \( \frac{1}{2} \)"," Probability"," die_throw"
"What is the probability of rolling a number greater than 4 on a fair six-sided die?"," \( \frac{1}{6} \)"," \( \frac{1}{3} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," \( \frac{1}{3} \)"," Probability"," die_throw"
"What is the probability of rolling a number less than 5 on a fair six-sided die?"," \( \frac{1}{6} \)"," \( \frac{2}{3} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," \( \frac{2}{3} \)"," Probability"," die_throw"
"What is the probability of rolling a number that is a multiple of 3 on a fair six-sided die?"," \( \frac{1}{6} \)"," \( \frac{1}{3} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," \( \frac{1}{3} \)"," Probability"," die_throw"
"What is the probability of drawing an Ace from a standard deck of 52 playing cards?"," \( \frac{4}{52} \)"," \( \frac{1}{13} \)"," \( \frac{1}{4} \)"," \( \frac{1}{2} \)"," \( \frac{1}{13} \)"," Probability"," playing_cards"
"If one card is drawn from a standard deck of 52 playing cards, what is the probability of drawing a heart?"," \( \frac{13}{52} \)"," \( \frac{1}{4} \)"," \( \frac{1}{2} \)"," \( \frac{3}{13} \)"," \( \frac{1}{4} \)"," Probability"," playing_cards"
"What is the probability of drawing 2 Aces in a row from a deck without replacement?"," \( \frac{4}{52} \times \frac{3}{51} \)"," \( \frac{1}{13} \times \frac{3}{51} \)"," \( \frac{1}{13} \times \frac{4}{52} \)"," \( \frac{1}{17} \)"," \( \frac{12}{2652} \)"," Probability"," playing_cards"
"If a card is drawn and replaced, what is the probability of drawing a Queen twice in a row?"," \( \frac{4}{52} \times \frac{4}{52} \)"," \( \frac{1}{13} \times \frac{1}{13} \)"," \( \frac{1}{169} \)"," \( \frac{2}{13} \)"," \( \frac{16}{2704} \)"," Probability"," playing_cards"
"What is the probability of drawing 1 red card and 1 black card in 2 draws without replacement?"," \( \frac{26}{52} \times \frac{26}{51} \)"," \( \frac{1}{2} \times \frac{1}{2} \)"," \( \frac{26}{52} \times \frac{26}{52} \)"," \( \frac{13}{52} \)"," \( \frac{26}{102} \)"," Probability"," playing_cards"
"What is the probability of drawing a heart given that the card drawn is red?"," \( \frac{1}{2} \)"," \( \frac{13}{26} \)"," \( \frac{1}{4} \)"," \( \frac{13}{52} \)"," \( \frac{1}{2} \)"," Probability"," conditional_probability"
"If a bag contains 3 red balls and 2 blue balls, what is the probability of drawing a red ball given that a ball drawn is blue?"," \( 0 \)"," \( \frac{3}{5} \)"," \( \frac{2}{5} \)"," \( 1 \)"," \( 0 \)"," Probability"," conditional_probability"
"In a class of 30 students, 18 are girls and 12 are boys. What is the probability that a student is a girl given that the student is not a boy?"," \( \frac{3}{5} \)"," \( \frac{6}{10} \)"," \( \frac{18}{30} \)"," \( \frac{18}{12} \)"," \( \frac{18}{18} \)"," Probability"," conditional_probability"
"What is the probability of drawing a King given that the card drawn is a face card?"," \( \frac{1}{3} \)"," \( \frac{1}{4} \)"," \( \frac{3}{12} \)"," \( \frac{1}{13} \)"," \( \frac{1}{3} \)"," Probability"," conditional_probability"
"If the probability of passing a test is 0.7 and the probability of studying is 0.8, what is the probability of passing the test given that the student studied?"," \( 0.7 \)"," \( 0.56 \)"," \( 0.8 \)"," \( 0.9 \)"," \( 0.7 \)"," Probability"," conditional_probability"
"What is the probability of choosing a prime number from the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}?"," \( \frac{4}{10} \)"," \( \frac{3}{10} \)"," \( \frac{2}{5} \)"," \( \frac{1}{2} \)"," \( \frac{4}{10} \)"," Probability"," choosing_numbers"
"If a number is chosen from the set {1, 2, 3, 4, 5, 6, 7, 8, 9}, what is the probability that it is an odd number?"," \( \frac{4}{9} \)"," \( \frac{5}{9} \)"," \( \frac{1}{2} \)"," \( \frac{3}{9} \)"," \( \frac{5}{9} \)"," Probability"," choosing_numbers"
"What is the probability of choosing a number less than 5 from the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}?"," \( \frac{4}{10} \)"," \( \frac{5}{10} \)"," \( \frac{6}{10} \)"," \( \frac{3}{10} \)"," \( \frac{4}{10} \)"," Probability"," choosing_numbers"
"From the set {1, 2, 3, 4, 5, 6}, what is the probability of selecting an even number?"," \( \frac{2}{6} \)"," \( \frac{1}{2} \)"," \( \frac{3}{6} \)"," \( \frac{4}{6} \)"," \( \frac{3}{6} \)"," Probability"," choosing_numbers"
"If a number is randomly selected from the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, what is the probability of it being a composite number?"," \( \frac{4}{10} \)"," \( \frac{5}{10} \)"," \( \frac{6}{10} \)"," \( \frac{7}{10} \)"," \( \frac{4}{10} \)"," Probability"," choosing_numbers"
"What is the probability of getting a head and a 4 when tossing a coin and a die?"," \( \frac{1}{12} \)"," \( \frac{1}{6} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," \( \frac{1}{12} \)"," Probability"," coin_die"
"If a coin is tossed and a die is rolled, what is the probability of getting a tail and an odd number?"," \( \frac{3}{12} \)"," \( \frac{1}{4} \)"," \( \frac{1}{6} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," Probability"," coin_die"
"What is the probability of getting a head and a number greater than 3 on the die?"," \( \frac{2}{12} \)"," \( \frac{1}{3} \)"," \( \frac{1}{4} \)"," \( \frac{1}{2} \)"," \( \frac{1}{4} \)"," Probability"," coin_die"
"When a coin is tossed and a die is rolled, what is the probability of getting heads or a 6?"," \( \frac{7}{12} \)"," \( \frac{2}{3} \)"," \( \frac{1}{2} \)"," \( \frac{5}{12} \)"," \( \frac{7}{12} \)"," Probability"," coin_die"
"What is the probability of getting tails and a number less than 3 on the die?"," \( \frac{1}{12} \)"," \( \frac{2}{12} \)"," \( \frac{1}{6} \)"," \( \frac{1}{4} \)"," \( \frac{1}{6} \)"," Probability"," coin_die"
"In a box containing 5 red and 3 blue balls, what is the probability of drawing a red ball?"," \( \frac{5}{8} \)"," \( \frac{3}{8} \)"," \( \frac{1}{2} \)"," \( \frac{5}{3} \)"," \( \frac{5}{8} \)"," Probability"," drawing_items"
